Date,Product,Category,Campaign_Type,Platform,Leads,Conversions,Revenue,Spend,Impressions,Clicks,Country
2020-04-07,21-Day Upgrade,Digital,WhatsApp,WhatsApp,69,13,17682.39,1841.48,7737,596,India
2020-04-07,Mindset Coaching,Skill,Content,WhatsApp,621,127,117865.37,4699.02,31907,1700,India
2020-04-07,Spiritual Sessions,Skill,WhatsApp,YouTube,181,50,30966.35,2185.44,16317,631,India
2020-04-07,1:1 Mentorship,Skill,Email,Facebook,6,1,1637.81,85.61,1545,18,India
2020-04-07,Dashboard Templates,Coaching,Ads,Instagram,61,11,7579.4,1827.67,30629,550,India
2020-04-07,Meditation Audio Pack,Digital,Ads,WhatsApp,393,58,48622.55,1766.32,25574,1225,India
2020-04-07,E-book,Coaching,Content,WhatsApp,118,12,11639.9,5208.34,33913,1052,India
2020-04-07,Clothing Brand,Skill,WhatsApp,Facebook,1072,162,318847.58,10595.97,32883,3159,India
2020-04-08,5-Min Meditation Club,Coaching,WhatsApp,Facebook,154,22,30126.01,1855.89,15561,389,India
2020-04-08,3-Day Challenge,Digital,Influencer,Facebook,165,23,36874.8,1887.16,35157,1081,India
2020-04-08,21-Day Upgrade,Digital,WhatsApp,YouTube,327,93,47710.06,4471.71,9245,898,India
2020-04-08,Mindset Coaching,Skill,Content,Instagram,280,73,44009.63,3641.81,26425,1919,India
2020-04-08,Spiritual Sessions,Coaching,WhatsApp,Instagram,304,83,35949.53,4931.2,38443,2391,India
2020-04-08,1:1 Mentorship,Physical,Email,Google,728,168,59904.8,6807.29,24265,2125,India
2020-04-08,Dashboard Templates,Coaching,Content,YouTube,18,5,9050.32,102.09,4972,71,India
2020-04-08,Meditation Audio Pack,Skill,Influencer,Facebook,155,41,58237.59,1339.09,10516,560,India
2020-04-08,E-book,Coaching,Influencer,Google,1059,245,431476.74,13752.87,35080,3124,India
2020-04-08,Clothing Brand,Coaching,Ads,Instagram,408,97,173333.84,5446.35,33088,3100,India
2020-04-09,5-Min Meditation Club,Digital,Influencer,Facebook,175,25,5050.41,2354.48,48638,508,India
2020-04-09,3-Day Challenge,Skill,Ads,WhatsApp,53,11,14709.91,1408.48,27123,286,India
2020-04-09,21-Day Upgrade,Physical,Ads,WhatsApp,749,90,105685.19,9074.99,38311,2244,India
2020-04-09,Mindset Coaching,Physical,WhatsApp,Instagram,292,75,119065.3,1522.12,34339,898,India
2020-04-09,Spiritual Sessions,Digital,Influencer,WhatsApp,69,11,3105.69,884.85,15859,254,India
2020-04-09,1:1 Mentorship,Skill,WhatsApp,Google,245,43,72185.1,1114.79,12939,883,India
2020-04-09,Dashboard Templates,Coaching,Influencer,Facebook,45,8,3071.59,1457.05,30241,305,India
2020-04-09,Meditation Audio Pack,Coaching,Email,WhatsApp,68,16,11069.87,1997.16,18482,552,India
2020-04-09,E-book,Skill,WhatsApp,Instagram,745,169,117216.26,8545.66,34756,3299,India
2020-04-09,Clothing Brand,Physical,Ads,WhatsApp,211,30,41190.01,1409.04,13857,1253,India
2020-04-10,5-Min Meditation Club,Skill,Ads,WhatsApp,170,23,10961.44,1577.54,19639,1156,India
2020-04-10,3-Day Challenge,Digital,Content,Instagram,370,39,51088.85,12462.5,40110,2661,India
2020-04-10,21-Day Upgrade,Digital,Influencer,Facebook,485,67,21143.6,6282.79,29541,2118,India
2020-04-10,Mindset Coaching,Physical,Ads,Google,571,109,36014.08,3097.59,36201,2960,India
2020-04-10,Spiritual Sessions,Coaching,Content,WhatsApp,687,193,298858.75,6940.81,22804,1781,India
2020-04-10,1:1 Mentorship,Digital,Email,Instagram,112,15,23946.73,1096.67,39559,460,India
2020-04-10,Dashboard Templates,Digital,Ads,YouTube,26,2,1828.92,172.18,7368,131,India
2020-04-10,Meditation Audio Pack,Skill,Content,Instagram,163,38,16096.65,7002.63,17369,1457,India
2020-04-10,E-book,Skill,WhatsApp,Google,379,109,175507.54,3487.21,27015,996,India
2020-04-10,Clothing Brand,Physical,Ads,Google,786,201,54944.84,8238.75,47163,2818,India
2020-04-11,5-Min Meditation Club,Skill,Email,Facebook,43,5,2972.93,1126.27,16313,251,India
2020-04-11,3-Day Challenge,Skill,Influencer,Instagram,393,42,9977.1,2812.55,19311,1708,India
2020-04-11,21-Day Upgrade,Coaching,Email,Instagram,291,68,17351.87,2353.34,26658,1826,India
2020-04-11,Mindset Coaching,Digital,Email,WhatsApp,173,46,70087.0,2713.63,8005,772,India
2020-04-11,Spiritual Sessions,Physical,Ads,YouTube,599,130,118550.55,2636.37,40063,2359,India
2020-04-11,1:1 Mentorship,Coaching,Ads,Facebook,106,23,13321.41,2710.63,12171,583,India
2020-04-11,Dashboard Templates,Digital,Ads,Facebook,211,38,50865.77,2163.71,20342,635,India
2020-04-11,Meditation Audio Pack,Coaching,Email,YouTube,434,118,132947.21,6941.93,45965,2496,India
2020-04-11,E-book,Skill,Content,WhatsApp,25,7,9674.88,239.84,4814,118,India
2020-04-11,Clothing Brand,Digital,Influencer,YouTube,767,112,56623.19,4206.75,33419,3251,India
2020-04-12,5-Min Meditation Club,Physical,Email,WhatsApp,234,35,51526.96,3544.89,12083,1022,India
2020-04-12,3-Day Challenge,Physical,Email,WhatsApp,274,56,82302.87,5476.74,20576,1327,India
2020-04-12,21-Day Upgrade,Coaching,Content,Google,67,7,13201.23,1168.63,18658,374,India
2020-04-12,Mindset Coaching,Physical,Influencer,YouTube,71,8,11510.19,1893.03,21677,567,India
2020-04-12,Spiritual Sessions,Physical,WhatsApp,YouTube,16,2,2488.4,782.78,2239,160,India
2020-04-12,1:1 Mentorship,Digital,Email,YouTube,100,10,14684.25,1577.83,10110,707,India
2020-04-12,Dashboard Templates,Digital,Content,YouTube,241,45,23349.13,3573.58,43324,799,India
2020-04-12,Meditation Audio Pack,Skill,Content,WhatsApp,46,12,19000.02,1208.24,23473,271,India
2020-04-12,E-book,Physical,Ads,YouTube,322,57,22336.44,3904.14,36840,1083,India
2020-04-12,Clothing Brand,Coaching,Content,Google,101,18,28949.29,1161.1,18087,259,India
2020-04-13,5-Min Meditation Club,Coaching,Content,Google,608,173,315288.38,5078.71,26923,1845,India
2020-04-13,3-Day Challenge,Physical,Ads,Facebook,213,44,34507.2,1605.14,18772,1569,India
2020-04-13,21-Day Upgrade,Digital,WhatsApp,Google,138,20,12181.71,1475.86,13178,592,India
2020-04-13,Mindset Coaching,Physical,Ads,WhatsApp,244,47,82438.03,2156.39,12207,856,India
2020-04-13,Spiritual Sessions,Physical,WhatsApp,YouTube,357,46,29574.57,8362.69,32348,2692,India
2020-04-13,1:1 Mentorship,Physical,Content,WhatsApp,283,39,53252.72,2767.26,27987,2686,India
2020-04-13,Dashboard Templates,Physical,Influencer,WhatsApp,69,13,6492.16,777.09,9906,437,India
2020-04-13,Meditation Audio Pack,Digital,Ads,Instagram,360,74,96096.46,2375.45,28117,1058,India
2020-04-13,E-book,Coaching,Content,YouTube,287,39,20536.97,7840.01,44596,2105,India
2020-04-13,Clothing Brand,Physical,Influencer,YouTube,123,24,28569.79,1343.22,9636,318,India
2020-04-14,5-Min Meditation Club,Skill,Ads,YouTube,36,7,11401.17,418.4,12130,124,India
2020-04-14,3-Day Challenge,Digital,WhatsApp,WhatsApp,1251,213,341853.48,6586.38,39520,3382,India
2020-04-14,21-Day Upgrade,Coaching,Content,Google,198,50,48155.03,925.71,8227,579,India
2020-04-14,Mindset Coaching,Skill,WhatsApp,YouTube,255,34,20891.07,2201.86,18633,979,India
2020-04-14,Spiritual Sessions,Coaching,Ads,Google,127,25,11139.79,2272.57,10160,459,India
2020-04-14,1:1 Mentorship,Physical,Ads,YouTube,526,54,90378.33,3922.47,33117,1659,India
2020-04-14,Dashboard Templates,Physical,Content,Google,137,16,8725.78,5075.63,32007,1109,India
2020-04-14,Meditation Audio Pack,Skill,Influencer,YouTube,197,40,65625.67,2075.92,38957,1634,India
2020-04-14,E-book,Digital,Content,Google,105,17,33820.66,1971.38,9258,536,India
2020-04-14,Clothing Brand,Skill,Content,YouTube,65,13,6702.09,2676.1,10686,554,India
2020-04-15,5-Min Meditation Club,Physical,Influencer,WhatsApp,399,67,109331.27,4472.09,24197,1222,India
2020-04-15,3-Day Challenge,Physical,Ads,Instagram,186,47,66213.84,1147.26,49231,581,India
2020-04-15,21-Day Upgrade,Coaching,Ads,Instagram,98,11,6701.67,982.36,12023,668,India
2020-04-15,Mindset Coaching,Physical,Ads,Google,918,147,147729.79,8928.34,36585,3450,India
2020-04-15,Spiritual Sessions,Digital,Ads,Facebook,565,152,285010.85,2606.17,25981,1421,India
2020-04-15,1:1 Mentorship,Digital,Content,Facebook,653,159,92469.39,3937.82,35594,2516,India
2020-04-15,Dashboard Templates,Coaching,Ads,Instagram,199,33,44673.74,3166.98,25226,646,India
2020-04-15,Meditation Audio Pack,Skill,WhatsApp,Instagram,709,156,80294.69,11702.79,30984,2883,India
2020-04-15,E-book,Physical,Influencer,WhatsApp,119,13,5762.89,624.44,24429,566,India
2020-04-15,Clothing Brand,Physical,Influencer,Google,546,88,87218.65,7198.47,24563,2380,India
2020-04-16,5-Min Meditation Club,Coaching,Ads,Google,292,51,27805.63,4544.58,21733,1395,India
2020-04-16,3-Day Challenge,Physical,WhatsApp,WhatsApp,588,109,36442.37,5236.43,47332,3112,India
2020-04-16,21-Day Upgrade,Physical,Email,WhatsApp,948,249,187062.87,8226.51,42568,2377,India
2020-04-16,Mindset Coaching,Skill,WhatsApp,WhatsApp,257,71,39072.76,5178.41,38285,1850,India
2020-04-16,Spiritual Sessions,Skill,Influencer,Facebook,773,196,186019.13,2522.61,28605,2416,India
2020-04-16,1:1 Mentorship,Coaching,Influencer,Facebook,270,60,102104.76,3952.56,24177,1723,India
2020-04-16,Dashboard Templates,Coaching,Email,Facebook,64,11,14992.58,1178.2,36153,571,India
2020-04-16,Meditation Audio Pack,Coaching,Email,Facebook,195,28,46458.57,1958.52,25345,543,India
2020-04-16,E-book,Coaching,Content,YouTube,365,46,63739.71,1332.53,20877,946,India
2020-04-16,Clothing Brand,Skill,Ads,Google,53,5,5153.3,700.27,4631,152,India
2020-04-17,5-Min Meditation Club,Physical,Email,Instagram,463,52,24455.82,5016.17,24253,1632,India
2020-04-17,3-Day Challenge,Physical,WhatsApp,Instagram,189,22,7254.54,6497.56,23614,1681,India
2020-04-17,21-Day Upgrade,Skill,WhatsApp,WhatsApp,229,44,85683.4,5274.27,19052,1062,India
2020-04-17,Mindset Coaching,Skill,Email,Instagram,363,96,92518.5,1749.1,29138,1372,India
2020-04-17,Spiritual Sessions,Physical,Email,Instagram,252,74,16188.97,5496.76,18630,1498,India
2020-04-17,1:1 Mentorship,Physical,Ads,Facebook,87,25,18176.99,3267.79,13504,779,India
2020-04-17,Dashboard Templates,Coaching,Ads,Instagram,1038,231,64385.27,6594.05,43676,4054,India
2020-04-17,Meditation Audio Pack,Physical,Influencer,WhatsApp,269,47,32562.74,1679.56,23168,1015,India
2020-04-17,E-book,Skill,Content,WhatsApp,164,48,36982.1,5827.28,28935,1581,India
2020-04-17,Clothing Brand,Skill,Email,Google,479,92,139038.06,6416.58,44950,1469,India
2020-04-18,5-Min Meditation Club,Coaching,Influencer,WhatsApp,698,200,99333.33,2072.15,29927,1767,India
2020-04-18,3-Day Challenge,Coaching,Influencer,Instagram,617,80,75531.97,5933.31,25858,2504,India
2020-04-18,21-Day Upgrade,Physical,Influencer,YouTube,95,22,29597.14,1599.61,9706,356,India
2020-04-18,Mindset Coaching,Physical,Ads,YouTube,1004,277,152105.4,6575.55,37495,3114,India
2020-04-18,Spiritual Sessions,Physical,Influencer,Instagram,557,146,209975.94,5982.19,45522,1729,India
2020-04-18,1:1 Mentorship,Digital,Influencer,Instagram,69,7,3951.26,848.37,20363,213,India
2020-04-18,Dashboard Templates,Physical,Influencer,WhatsApp,93,14,27907.63,2906.76,16379,645,India
2020-04-18,Meditation Audio Pack,Skill,Influencer,YouTube,569,72,14643.63,12599.98,43003,3450,India
2020-04-18,E-book,Coaching,WhatsApp,Facebook,106,18,31926.1,1805.64,27661,692,India
2020-04-18,Clothing Brand,Skill,Email,WhatsApp,393,86,141812.3,5432.81,24225,1466,India
2020-04-19,5-Min Meditation Club,Digital,Influencer,WhatsApp,303,33,53222.88,5755.92,44922,2463,India
2020-04-19,3-Day Challenge,Skill,Email,Instagram,600,74,46216.23,11159.87,49831,2831,India
2020-04-19,21-Day Upgrade,Digital,Email,WhatsApp,547,134,68643.39,3643.91,20194,1658,India
2020-04-19,Mindset Coaching,Digital,Influencer,Instagram,250,74,113366.19,3262.9,31447,818,India
2020-04-19,Spiritual Sessions,Digital,Content,Google,459,110,138122.86,10260.41,31268,3069,India
2020-04-19,1:1 Mentorship,Physical,Influencer,WhatsApp,181,48,42165.38,2950.26,19284,1551,India
2020-04-19,Dashboard Templates,Skill,Ads,Google,57,13,3766.3,535.75,3096,152,India
2020-04-19,Meditation Audio Pack,Coaching,Email,Instagram,248,27,11783.58,4621.08,30312,2431,India
2020-04-19,E-book,Skill,Email,YouTube,96,10,6962.96,597.77,46603,522,India
2020-04-19,Clothing Brand,Physical,WhatsApp,WhatsApp,333,89,42852.37,3021.79,33591,1458,India
2020-04-20,5-Min Meditation Club,Skill,Ads,Google,542,111,91599.2,10117.41,41785,3826,India
2020-04-20,3-Day Challenge,Digital,Content,Facebook,16,2,3235.77,198.33,2171,46,India
2020-04-20,21-Day Upgrade,Skill,Content,Facebook,278,68,55003.4,3420.11,19745,1938,India
2020-04-20,Mindset Coaching,Coaching,Content,Instagram,451,47,44761.95,11318.05,30055,2917,India
2020-04-20,Spiritual Sessions,Coaching,Ads,YouTube,79,19,28007.96,280.82,10879,221,India
2020-04-20,1:1 Mentorship,Physical,WhatsApp,Facebook,32,7,2629.29,419.48,4648,225,India
2020-04-20,Dashboard Templates,Physical,WhatsApp,Instagram,33,6,6159.79,1183.17,4750,280,India
2020-04-20,Meditation Audio Pack,Skill,Influencer,WhatsApp,569,118,183772.47,6353.08,38823,1575,India
2020-04-20,E-book,Digital,Content,Google,201,42,50583.34,2101.53,15939,525,India
2020-04-20,Clothing Brand,Skill,Ads,Google,337,87,88135.72,3870.91,43951,1556,India
